"country_name","country_text_id","year","v2x_polyarchy","e_boix_regime","e_migdppc","e_regionpol_6C"
"Somaliland","SML",2010,0.501,NA,NA,"Sub-Saharan Africa"
"Somalia","SOM",2010,0.211,0,NA,"Sub-Saharan Africa"
"Serbia","SRB",2010,0.609,1,11872,"Eastern Europe and Central Asia"
"Sao Tome and Principe","STP",2010,0.676,1,2963,"Sub-Saharan Africa"
"Suriname","SUR",2010,0.79,1,NA,"Latin America and the Caribbean"
"Slovakia","SVK",2010,0.872,1,22555,"Eastern Europe and Central Asia"
"Slovenia","SVN",2010,0.883,1,25660,"Eastern Europe and Central Asia"
"Sweden","SWE",2010,0.935,1,42043,"Western Europe and North America"
"Swaziland","SWZ",2010,0.125,0,7442,"Sub-Saharan Africa"
"Seychelles","SYC",2010,0.458,0,19810,"Sub-Saharan Africa"
"Syria","SYR",2010,0.155,0,5678,"Middle East and Northern Africa"
"Chad","TCD",2010,0.293,0,1764,"Sub-Saharan Africa"
"Togo","TGO",2010,0.445,0,1232,"Sub-Saharan Africa"
"Thailand","THA",2010,0.407,0,12586,"Asia and Pacific"
"Tajikistan","TJK",2010,0.236,0,2893,"Eastern Europe and Central Asia"
"Turkmenistan","TKM",2010,0.146,0,16391,"Eastern Europe and Central Asia"
"Timor-Leste","TLS",2010,0.668,1,NA,"Asia and Pacific"
"Trinidad and Tobago","TTO",2010,0.782,1,25687,"Latin America and the Caribbean"
"Tunisia","TUN",2010,0.193,0,10735,"Middle East and Northern Africa"
"Turkey","TUR",2010,0.628,1,16211,"Middle East and Northern Africa"
"Taiwan","TWN",2010,0.804,1,37804,"Asia and Pacific"
"Tanzania","TZA",2010,0.504,0,2002,"Sub-Saharan Africa"
"Uganda","UGA",2010,0.368,0,1772,"Sub-Saharan Africa"
"Ukraine","UKR",2010,0.554,1,9250,"Eastern Europe and Central Asia"
"Uruguay","URY",2010,0.929,1,15854,"Latin America and the Caribbean"
"United States of America","USA",2010,0.907,1,49267,"Western Europe and North America"
"Uzbekistan","UZB",2010,0.167,0,6812,"Eastern Europe and Central Asia"
"Venezuela","VEN",2010,0.431,0,16161,"Latin America and the Caribbean"
"Vietnam","VNM",2010,0.15,0,4465,"Asia and Pacific"
"Vanuatu","VUT",2010,0.674,1,NA,"Asia and Pacific"
"Kosovo","XKX",2010,0.492,NA,NA,"Eastern Europe and Central Asia"
"Yemen","YEM",2010,0.319,0,4363,"Middle East and Northern Africa"
"South Africa","ZAF",2010,0.767,1,11288,"Sub-Saharan Africa"
"Zambia","ZMB",2010,0.515,1,2900,"Sub-Saharan Africa"
"Zimbabwe","ZWE",2010,0.28,0,1425,"Sub-Saharan Africa"
"Zanzibar","ZZB",2010,0.343,NA,NA,"Sub-Saharan Africa"
